r(m), theta(rad), phi(rad), E(Re), E(Im), H(Re), H(Im)
0.300000, 1.507964, 1.759292, 0.009737, 0.003313, 0.000024, 0.000006
0.300000, 1.507964, 1.727876, 0.009406, 0.004123, 0.000024, 0.000008
0.300000, 1.507964, 1.696460, 0.009294, 0.004950, 0.000023, 0.000009
0.300000, 1.507964, 1.665044, 0.009512, 0.005695, 0.000024, 0.000011
0.300000, 1.507964, 1.633628, 0.010026, 0.006309, 0.000026, 0.000012
0.300000, 1.507964, 1.602212, 0.010686, 0.006791, 0.000028, 0.000012
0.300000, 1.507964, 1.570796, 0.011326, 0.007170, 0.000029, 0.000012
0.300000, 1.507964, 1.539380, 0.011828, 0.007495, 0.000031, 0.000012
0.300000, 1.507964, 1.507964, 0.012156, 0.007814, 0.000031, 0.000011
0.300000, 1.507964, 1.476549, 0.012358, 0.008165, 0.000032, 0.000010
0.300000, 1.507964, 1.445133, 0.012547, 0.008559, 0.000033, 0.000010
0.300000, 1.507964, 1.413717, 0.012862, 0.008986, 0.000034, 0.000010
0.300000, 1.507964, 1.382301, 0.013404, 0.009419, 0.000036, 0.000010
0.300000, 1.507964, 1.350885, 0.014185, 0.009831, 0.000038, 0.000011
0.300000, 1.507964, 1.319469, 0.015120, 0.010201, 0.000041, 0.000012
0.300000, 1.507964, 1.288053, 0.016063, 0.010520, 0.000044, 0.000014
0.300000, 1.507964, 1.256637, 0.016862, 0.010792, 0.000046, 0.000015
0.300000, 1.507964, 1.225221, 0.017400, 0.011026, 0.000048, 0.000017
0.300000, 1.507964, 1.193805, 0.017623, 0.011234, 0.000049, 0.000018
0.300000, 1.507964, 1.162389, 0.017541, 0.011430, 0.000049, 0.000019
0.300000, 1.507964, 1.130973, 0.017222, 0.011632, 0.000049, 0.000019
0.300000, 1.507964, 1.099557, 0.016766, 0.011874, 0.000048, 0.000019
0.300000, 1.507964, 1.068142, 0.016262, 0.012208, 0.000047, 0.000019
0.300000, 1.507964, 1.036726, 0.015742, 0.012709, 0.000046, 0.000019
0.300000, 1.507964, 1.005310, 0.015165, 0.013442, 0.000044, 0.000019
0.300000, 1.507964, 0.973894, 0.014435, 0.014435, 0.000042, 0.000021
0.300000, 1.507964, 0.942478, 0.013461, 0.015643, 0.000039, 0.000023
0.300000, 1.507964, 0.911062, 0.012229, 0.016954, 0.000036, 0.000026
0.300000, 1.507964, 0.879646, 0.010877, 0.018219, 0.000031, 0.000028
0.300000, 1.507964, 0.848230, 0.009738, 0.019286, 0.000027, 0.000031
0.300000, 1.507964, 0.816814, 0.009272, 0.020039, 0.000024, 0.000033
0.300000, 1.507964, 0.785398, 0.009723, 0.020416, 0.000023, 0.000035
0.300000, 1.507964, 0.753982, 0.010816, 0.020412, 0.000025, 0.000036
0.300000, 1.507964, 0.722566, 0.012000, 0.020061, 0.000028, 0.000036
0.300000, 1.507964, 0.691150, 0.012805, 0.019400, 0.000031, 0.000036
0.300000, 1.507964, 0.659734, 0.012957, 0.018436, 0.000032, 0.000035
